8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.01,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0001,8.0008,8.0038,8.0092,7.9985,7.9963,8.0003,8.0008,8,7.9999,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0002,8.0008,8.0028,8.0066,8.0068,7.9944,7.9937,8.0023,8.0027,7.9994,7.9993,8.0001,8.0002,8,8,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.0002,8.0007,8.0023,8.0053,8.0075,8.0017,7.9893,7.994,8.0068,8.0045,7.9972,7.998,8.0008,8.0006,7.9998,7.9998,8,8,8,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8,8.0002,8.0007,8.002,8.0045,8.0071,8.005,7.9941,7.9857,7.9989,8.0132,8.0039,7.9925,7.9971,8.0031,8.0014,7.999,7.9995,8.0003,8.0001,7.9999,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8,8.0002,8.0006,8.0017,8.0039,8.0066,8.0065,7.9986,7.9861,7.9871,8.0092,8.0186,7.998,7.9856,7.9987,8.0079,8.0015,7.9967,7.9992,8.0011,8.0003,7.9997,7.9999,8.0001,8,8,8,8,8
8,8,8,8,8,8,8,8,8,8,8,8.0002,8.0006,8.0015,8.0035,8.0061,8.007,8.0019,7.9894,7.9815,7.9962,8.0227,8.0181,7.9849,7.9796,8.0063,8.0146,7.9986,7.9922,7.9999,8.0033,8.0003,7.9988,7.9998,8.0004,8.0001,7.9999,8,8,8
8,8,8,8,8,8,8,8,8,8,8.0002,8.0005,8.0014,8.0031,8.0056,8.0072,8.0041,7.9932,7.9808,7.985,8.0135,8.0335,8.006,7.9663,7.9807,8.0223,8.0198,7.9891,7.9863,8.004,8.0073,7.9989,7.9968,8.0002,8.0012,8,7.9996,8,8.0001,8
7.9999,8,8,8,8,8,8,8,8,8.0002,8.0005,8.0012,8.0028,8.0051,8.0071,8.0055,7.9966,7.9826,7.9782,7.9998,8.0346,8.0328,7.9795,7.9496,7.9972,8.0453,8.0161,7.9703,7.983,8.0153,8.0119,7.9936,7.9935,8.0022,8.0029,7.9994,7.9989,8.0002,8.0004,8
7.9996,8.0001,8.0001,8,8,8,8,8,8.0002,8.0004,8.0011,8.0025,8.0047,8.0069,8.0064,7.9994,7.9856,7.9752,7.9873,8.0251,8.0494,8.0113,7.9428,7.9482,8.0343,8.0664,7.9929,7.9439,7.991,8.0361,8.0122,7.981,7.9908,8.0084,8.0053,7.9968,7.9975,8.0011,8.001,7.9997
7.9992,8.0004,8.0003,7.9999,7.9999,8,8.0001,8.0001,8.0004,8.001,8.0023,8.0044,8.0066,8.007,8.0016,7.9888,7.975,7.9779,8.011,8.0525,8.0439,7.966,7.911,7.9781,8.0886,8.0669,7.9423,7.9213,8.0225,8.0639,7.9984,7.9591,7.9941,8.0218,8.0059,7.99,7.9962,8.004,8.0019,7.9986
7.9987,8.0017,8.0006,7.9994,7.9998,8.0002,8.0002,8.0003,8.0009,8.0021,8.0041,8.0064,8.0072,8.0034,7.9919,7.9764,7.9718,7.9966,8.0452,8.0663,8.0057,7.9068,7.9086,8.0486,8.1402,8.0223,7.8681,7.9263,8.0871,8.0843,7.9564,7.9324,8.0145,8.0433,7.9984,7.9767,7.9979,8.0109,8.0021,7.9955
7.9997,8.0048,8.0006,7.9982,7.9997,8.0008,8.0005,8.0007,8.0019,8.0038,8.0061,8.0074,8.0047,7.9948,7.9788,7.9686,7.9841,8.0318,8.0756,8.0467,7.9343,7.8608,7.9618,8.1506,8.1504,7.9144,7.7973,7.9907,8.18,8.0669,7.876,7.9191,8.0665,8.0661,7.9708,7.9572,8.0096,8.0235,7.9981,7.9887
8.006,8.0109,7.9985,7.9953,8.0003,8.0022,8.0009,8.0011,8.0034,8.006,8.0074,8.0056,7.9973,7.9817,7.9676,7.9741,8.0161,8.0735,8.0792,7.9807,7.8505,7.8677,8.0826,8.2454,8.0701,7.7527,7.7839,8.1398,8.2667,7.9684,7.7662,7.9551,8.1595,8.0674,7.9084,7.9414,8.0436,8.0394,7.9822,7.9778
8.0253,8.0195,7.9902,7.9902,8.0036,8.0053,8.0007,8.0014,8.0056,8.008,8.0064,7.9992,7.9847,7.9682,7.9669,8.0005,8.0633,8.0993,8.032,7.8755,7.7987,7.9641,8.25,8.2609,7.8663,7.5949,7.896,8.3665,8.2706,7.7539,7.6746,8.0887,8.2799,8.0026,7.8049,7.9567,8.1133,8.0454,7.9424,7.9671
8.0687,8.0237,7.9682,7.985,8.0139,8.0099,7.9981,8.0012,8.0088,8.0086,8.0008,7.987,7.9699,7.9625,7.9864,8.0482,8.1068,8.0783,7.925,7.7702,7.8364,8.1598,8.3924,8.1107,7.5639,7.548,8.1852,8.5987,8.0802,7.4389,7.6962,8.358,8.3655,7.8114,7.6848,8.0516,8.2207,8.0083,7.8679,7.9734
8.1434,8.0031,7.9234,7.9887,8.0382,8.0129,7.9889,8.0008,8.0136,8.006,7.9882,7.9707,7.9604,7.9752,8.0308,8.1037,8.1139,7.9862,7.7825,7.7326,8.0073,8.4088,8.386,7.7468,7.279,7.7357,8.6397,8.6684,7.6,7.1372,7.9531,8.7472,8.2812,7.4534,7.6289,8.2859,8.331,7.8708,7.7647,8.0332
8.2351,7.9162,7.8542,8.0245,8.0832,8.0031,7.967,8.0036,8.0218,7.9966,7.9675,7.9566,7.9679,8.0146,8.0923,8.1361,8.0484,7.8274,7.6705,7.8361,8.3074,8.5854,8.0937,7.2359,7.2017,8.2407,9.1224,8.3198,6.8613,7.0641,8.5441,9.1193,7.8276,6.9802,7.7814,8.6968,8.3358,7.5671,7.6841,8.2034
8.2738,7.7019,7.7874,8.1347,8.1445,7.9544,7.9283,8.0208,8.0357,7.9749,7.9406,7.9574,8.0048,8.0785,8.1438,8.1024,7.8941,7.6551,7.6819,8.1223,8.6444,8.4878,7.4683,6.7979,7.5192,9.0373,9.2958,7.3317,6.1304,7.4555,9.4702,9.1296,6.8426,6.6078,8.3141,9.228,8.0209,7.0816,7.7492,8.5432
8.09,7.3132,7.8085,8.3747,8.1825,7.8219,7.8836,8.0767,8.0536,7.9301,7.9148,7.9918,8.0771,8.1441,8.1387,7.9686,7.6839,7.5685,7.8989,8.5536,8.8037,7.9231,6.6773,6.729,8.3332,9.88,8.6211,5.8004,5.8444,8.4684,10.489,8.206,5.4437,6.6721,9.3612,9.6039,7.0998,6.5537,8.1483,9.0596
7.3944,6.8043,8.0801,8.7793,8.0827,7.5563,7.8828,8.2106,8.0572,7.8442,7.9087,8.0822,8.1717,8.1611,8.0268,7.7447,7.5119,7.6802,8.343,8.9551,8.4743,6.9015,6.1023,7.2526,9.5852,10.123,6.6624,4.3617,6.3025,10.135,10.855,5.8382,4.2409,7.413,10.902,9.177,5.4276,6.3277,9.0858,9.5905
5.8877,6.4388,8.8208,9.2743,7.6175,7.1593,8.0431,8.46,7.9861,7.6957,7.9609,8.2472,8.2404,8.0563,7.7922,7.5136,7.5105,8.0637,8.9096,8.9715,7.4382,5.7967,6.1214,8.4508,10.846,8.7168,3.8031,3.8066,7.5268,12.115,9.1936,2.3893,3.9446,8.9231,12.425,6.9868,3.4473,6.7193,10.701,9.6123
3.6731,6.5866,10.247,9.5023,6.4747,6.7893,8.5552,8.8058,7.7036,7.483,8.1445,8.4846,8.1825,7.7653,7.5013,7.4254,7.7964,8.6876,9.2779,8.1695,5.9033,5.1778,6.9015,10.203,10.932,5.0319,1.5556,4.1445,9.5186,13.141,4.3689,-0.311,4.1996,11.233,12.564,2.5334,2.3268,7.6787,12.761,8.1551
1.7914,7.2352,12.353,8.6667,4.5211,6.7857,9.6511,9.0475,6.985,7.284,8.5776,8.7319,7.8382,7.2983,7.3274,7.6474,8.4031,9.3085,8.8923,6.4463,4.5759,5.3661,8.4535,11.776,8.0774,0.47709,1.1081,4.7937,11.871,11.024,-2.2694,-0.36925,4.0792,13.491,9.6674,-2.7686,2.5352,9.302,14.156,4.29
1.6145,8.1804,14.325,5.8212,2.3843,7.3167,11.468,8.6398,5.625,7.3188,9.4141,8.782,7.0252,6.8181,7.5169,8.2956,9.1676,9.3441,7.3001,4.4637,4.0896,6.3341,10.558,11.25,2.0575,-1.8468,1.3895,5.8045,13.399,4.561,-6.6634,0.83574,4.5802,14.532,3.4053,-6.0628,1.8654,11.413,13.315,-1.5515
2.4399,10.091,14.561,0.72894,1.4839,8.1231,13.575,6.7637,3.8304,7.8345,10.758,8.1671,5.6742,6.6508,8.3278,9.3282,9.5087,8.0378,4.9069,3.2481,4.4498,8.0049,12.128,6.4938,-3.5258,-1.0682,1.1557,6.8458,12.796,-3.8132,-6.1016,-0.35833,5.2153,13.986,-4.0522,-4.9842,-1.3401,11.602,10.376,-6.7204
1.6226,12.355,11.715,-5.1144,2.2134,9.586,14.629,2.8783,2.5813,8.8155,12.325,6.2103,4.103,7.1123,9.9758,10.249,8.3048,5.4025,3.0697,3.1007,5.4031,10.074,10.858,-1.2248,-4.6153,-0.31329,1.1725,7.5662,9.6809,-9.4056,-1.0858,-2.051,4.2381,12.501,-8.103,0.64538,-2.8263,10.12,7.1468,-9.7001
-1.958,12.227,6.9838,-9.1677,1.8779,11.872,13.184,-2.5164,2.7308,10.357,12.986,2.5532,3.1479,8.2799,12.341,9.581,4.829,3.095,2.5962,3.5974,6.8501,11.413,5.1436,-6.6232,-2.2249,-0.81205,1.2095,8.0587,5.1593,-10.88,3.8702,-0.4046,3.6514,11.057,-7.4527,6.1627,0.88043,9.7737,2.6988,-11.221
-7.3345,8.4294,4.1063,-10.963,-1.3248,12.122,9.6634,-7.2428,2.8746,12.713,11.166,-2.1852,3.2783,10.308,14.141,5.2383,0.97925,2.5968,3.0215,4.4861,8.5199,10.117,-2.663,-6.6856,-1.001,-0.93657,1.1165,8.2682,0.5436,-10.447,4.7954,3.3548,4.2308,9.4619,-4.8977,8.2519,6.8035,7.9947,-3.6321,-9.8771
-10.862,3.3232,3.6949,-11.695,-4.7175,8.9486,6.6449,-9.9529,0.68582,14.207,6.7849,-6.2725,2.8399,13.047,12.802,-2.2498,0.43524,2.8969,3.8922,5.7383,9.5692,5.2273,-7.706,-3.5401,-1.6862,-0.88674,1.0264,8.2224,-3.5082,-9.1404,1.8506,6.119,5.6004,7.3253,-2.8344,8.1931,10.465,1.7612,-7.2008,-4.8554
-11.094,0.0036056,3.8491,-12.011,-5.7265,4.2159,5.0398,-11.269,-3.1836,13.028,2.6246,-8.2991,-0.3223,14.101,7.8787,-8.061,2.6037,3.9188,4.8854,7.1279,8.671,-1.3151,-8.0902,-1.4433,-2.0298,-0.75483,0.96045,8.0064,-6.4344,-6.1806,-2.171,6.0556,7.6325,4.5983,-1.891,7.67,10.445,-5.5132,-5.1963,-1.2547
